entity_id,field-name,field-value
2305175, "ID", "57"
2305175, "ELEV", "1524.000000000000000"
2309186, "fid", "59"
2309186, "ID", "58"
2309186, "ELEV", "304.800000000000011"
2311044, "fid", "60"
2311044, "ID", "59"
2311044, "ELEV", "1219.200000000000045"
2312698, "fid", "61"
2312698, "ID", "60"
2312698, "ELEV", "304.800000000000011"
2313619, "fid", "62"
2313619, "ID", "61"
2313619, "ELEV", "609.600000000000023"
2315152, "fid", "63"
2315152, "ID", "62"
2315152, "ELEV", "1219.200000000000045"
2316502, "fid", "64"
2316502, "ID", "63"
2316502, "ELEV", "914.400000000000091"
2330132, "fid", "65"
2330132, "ID", "64"
2330132, "ELEV", "914.400000000000091"
2331809, "fid", "66"
2331809, "ID", "65"
2331809, "ELEV", "609.600000000000023"
2332802, "fid", "67"
2332802, "ID", "66"
2332802, "ELEV", "609.600000000000023"
2334011, "fid", "68"
2334011, "ID", "67"
2334011, "ELEV", "914.400000000000091"
2334824, "fid", "69"
2334824, "ID", "68"
2334824, "ELEV", "1219.200000000000045"
2338835, "fid", "70"
2338835, "ID", "69"
2338835, "ELEV", "609.600000000000023"
2339288, "fid", "71"
2339288, "ID", "70"
2339288, "ELEV", "1524.000000000000000"
2339916, "fid", "72"
2339916, "ID", "71"
2339916, "ELEV", "1524.000000000000000"
2343015, "fid", "73"
2343015, "ID", "72"
2343015, "ELEV", "609.600000000000023"
2362154, "fid", "74"
2362154, "ID", "73"
2362154, "ELEV", "609.600000000000023"
2362751, "fid", "75"
2362751, "ID", "74"
2362751, "ELEV", "914.400000000000091"
2363312, "fid", "76"
2363312, "ID", "75"
2363312, "ELEV", "1219.200000000000045"
2364054, "fid", "77"
2364054, "ID", "76"
2364054, "ELEV", "609.600000000000023"
2364579, "fid", "78"
2364579, "ID", "77"
2364579, "ELEV", "1828.800000000000182"
2367640, "fid", "79"
2367640, "ID", "78"
2367640, "ELEV", "609.600000000000023"
2368741, "fid", "80"
2368741, "ID", "79"
2368741, "ELEV", "609.600000000000023"
2369518, "fid", "81"
2369518, "ID", "80"
2369518, "ELEV", "609.600000000000023"
2370115, "fid", "82"
2370115, "ID", "81"
2370115, "ELEV", "914.400000000000091"
2376005, "fid", "83"
2376005, "ID", "82"
2376005, "ELEV", "609.600000000000023"
2376494, "fid", "84"
2376494, "ID", "83"
2376494, "ELEV", "609.600000000000023"
2381520, "fid", "85"
2381520, "ID", "84"
2381520, "ELEV", "609.600000000000023"
2383017, "fid", "86"
2383017, "ID", "85"
2383017, "ELEV", "1828.800000000000182"
2384785, "fid", "87"
2384785, "ID", "86"
2384785, "ELEV", "609.600000000000023"
2385562, "fid", "88"
2385562, "ID", "87"
2385562, "ELEV", "304.800000000000011"
2394224, "fid", "89"
2394224, "ID", "88"
2394224, "ELEV", "1828.800000000000182"
2395156, "fid", "90"
2395156, "ID", "89"
2395156, "ELEV", "609.600000000000023"
2396905, "fid", "91"
2396905, "ID", "90"
2396905, "ELEV", "304.800000000000011"
2399159, "fid", "92"
2399159, "ID", "91"
2399159, "ELEV", "609.600000000000023"
2399828, "fid", "93"
2399828, "ID", "92"
2399828, "ELEV", "1219.200000000000045"
2402547, "fid", "94"
2402547, "ID", "93"
2402547, "ELEV", "1828.800000000000182"
2404810, "fid", "95"
2404810, "ID", "94"
2404810, "ELEV", "914.400000000000091"
2406415, "fid", "96"
2406415, "ID", "95"
2406415, "ELEV", "609.600000000000023"
2406904, "fid", "97"
2406904, "ID", "96"
2406904, "ELEV", "609.600000000000023"
2411462, "fid", "98"
2411462, "ID", "97"
2411462, "ELEV", "914.400000000000091"
2416380, "fid", "99"
2416380, "ID", "98"
2416380, "ELEV", "304.800000000000011"
2416725, "fid", "100"
2416725, "ID", "99"
2416725, "ELEV", "609.600000000000023"
2417250, "fid", "101"
2417250, "ID", "100"
2417250, "ELEV", "1524.000000000000000"
2427797, "fid", "102"
2427797, "ID", "101"
2427797, "ELEV", "304.800000000000011"
2428610, "fid", "103"
2428610, "ID", "102"
2428610, "ELEV", "609.600000000000023"
2429171, "fid", "104"
2429171, "ID", "103"
2429171, "ELEV", "304.800000000000011"
2429588, "fid", "105"
2429588, "ID", "104"
2429588, "ELEV", "609.600000000000023"
2430401, "fid", "106"
2430401, "ID", "105"
2430401, "ELEV", "304.800000000000011"
2432006, "fid", "107"
2432006, "ID", "106"
2432006, "ELEV", "609.600000000000023"
2433035, "fid", "108"
2433035, "ID", "107"
2433035, "ELEV", "609.600000000000023"
2433920, "fid", "109"
2433920, "ID", "108"
2433920, "ELEV", "1828.800000000000182"
2439755, "fid", "110"
2439755, "ID", "109"
2439755, "ELEV", "609.600000000000023"
2441396, "fid", "111"
2441396, "ID", "110"
2441396, "ELEV", "609.600000000000023"
2442533, "fid", "112"
2442533, "ID", "111"
2442533, "ELEV", "1219.200000000000045"
2443579, "fid", "113"
2443579, "ID", "112"
2443579, "ELEV", "304.800000000000011"
2445076, "fid", "114"
2445076, "ID", "113"
2445076, "ELEV", "304.800000000000011"
2449778, "fid", "115"
2449778, "ID", "114"
2449778, "ELEV", "609.600000000000023"
2450591, "fid", "116"
2450591, "ID", "115"
2450591, "ELEV", "609.600000000000023"
2451512, "fid", "117"
2451512, "ID", "116"
2451512, "ELEV", "1219.200000000000045"
2453052, "fid", "118"
2453052, "ID", "117"
2453052, "ELEV", "609.600000000000023"
2455918, "fid", "119"
2455918, "ID", "118"
2455918, "ELEV", "609.600000000000023"
2457055, "fid", "120"
2457055, "ID", "119"
2457055, "ELEV", "609.600000000000023"
2461685, "fid", "121"
2461685, "ID", "120"
2461685, "ELEV", "1524.000000000000000"
2485419, "fid", "122"
2485419, "ID", "121"
2485419, "ELEV", "609.600000000000023"
2486844, "fid", "123"
2486844, "ID", "122"
2486844, "ELEV", "914.400000000000091"
2487621, "fid", "124"
2487621, "ID", "123"
2487621, "ELEV", "609.600000000000023"
2491279, "fid", "125"
2491279, "ID", "124"
2491279, "ELEV", "914.400000000000091"
2492236, "fid", "126"
2492236, "ID", "125"
2492236, "ELEV", "1524.000000000000000"
2494423, "fid", "127"
2494423, "ID", "126"
2494423, "ELEV", "304.800000000000011"
2495848, "fid", "128"
2495848, "ID", "127"
2495848, "ELEV", "609.600000000000023"
2496661, "fid", "129"
2496661, "ID", "128"
2496661, "ELEV", "609.600000000000023"
2500319, "fid", "130"
2500319, "ID", "129"
2500319, "ELEV", "609.600000000000023"
2501780, "fid", "131"
2501780, "ID", "130"
2501780, "ELEV", "609.600000000000023"
2503205, "fid", "132"
2503205, "ID", "131"
2503205, "ELEV", "1219.200000000000045"
2504897, "fid", "133"
2504897, "ID", "132"
2504897, "ELEV", "304.800000000000011"
2505674, "fid", "134"
2505674, "ID", "133"
2505674, "ELEV", "609.600000000000023"
2507712, "fid", "135"
2507712, "ID", "134"
2507712, "ELEV", "609.600000000000023"
2510146, "fid", "136"
2510146, "ID", "135"
2510146, "ELEV", "304.800000000000011"
2512328, "fid", "137"
2512328, "ID", "136"
2512328, "ELEV", "1219.200000000000045"
2581168, "fid", "138"
2581168, "ID", "137"
2581168, "ELEV", "609.600000000000023"
2582377, "fid", "139"
2582377, "ID", "138"
2582377, "ELEV", "914.400000000000091"
2588015, "fid", "140"
2588015, "ID", "139"
2588015, "ELEV", "914.400000000000091"
2675770, "fid", "141"
2675770, "ID", "140"
2675770, "ELEV", "1219.200000000000045"
2677690, "fid", "142"
2677690, "ID", "141"
2677690, "ELEV", "1219.200000000000045"
2680941, "fid", "143"
2680941, "ID", "142"
2680941, "ELEV", "304.800000000000011"
2683375, "fid", "144"
2683375, "ID", "143"
2683375, "ELEV", "609.600000000000023"
2683972, "fid", "145"
2683972, "ID", "144"
2683972, "ELEV", "914.400000000000091"
2687342, "fid", "146"
2687342, "ID", "145"
2687342, "ELEV", "609.600000000000023"
2688551, "fid", "147"
2688551, "ID", "146"
2688551, "ELEV", "609.600000000000023"
2689184, "fid", "148"
2689184, "ID", "147"
2689184, "ELEV", "304.800000000000011"
2725387, "fid", "149"
2725387, "ID", "148"
2725387, "ELEV", "1219.200000000000045"
2727003, "fid", "150"
2727003, "ID", "149"
2727003, "ELEV", "609.600000000000023"
2727780, "fid", "151"
2727780, "ID", "150"
2727780, "ELEV", "1524.000000000000000"
2728598, "fid", "152"
2728598, "ID", "151"
2728598, "ELEV", "609.600000000000023"
2729411, "fid", "153"
2729411, "ID", "152"
2729411, "ELEV", "914.400000000000091"
2730080, "fid", "154"
2730080, "ID", "153"
2730080, "ELEV", "914.400000000000091"
2731613, "fid", "155"
2731613, "ID", "154"
2731613, "ELEV", "609.600000000000023"
2733867, "fid", "156"
2733867, "ID", "155"
2733867, "ELEV", "1219.200000000000045"
2736472, "fid", "157"
2736472, "ID", "156"
2736472, "ELEV", "609.600000000000023"
2736745, "fid", "158"
2736745, "ID", "157"
2736745, "ELEV", "304.800000000000011"
2739611, "fid", "159"
2739611, "ID", "158"
2739611, "ELEV", "914.400000000000091"
2741252, "fid", "160"
2741252, "ID", "159"
2741252, "ELEV", "1524.000000000000000"
2755751, "fid", "161"
2755751, "ID", "160"
2755751, "ELEV", "914.400000000000091"
2762721, "fid", "162"
2762721, "ID", "161"
2762721, "ELEV", "609.600000000000023"
2763714, "fid", "163"
2763714, "ID", "162"
2763714, "ELEV", "914.400000000000091"
2765247, "fid", "164"
2765247, "ID", "163"
2765247, "ELEV", "609.600000000000023"
2773117, "fid", "165"
2773117, "ID", "164"
2773117, "ELEV", "609.600000000000023"
2778755, "fid", "166"
2778755, "ID", "165"
2778755, "ELEV", "304.800000000000011"
2783925, "fid", "167"
2783925, "ID", "166"
2783925, "ELEV", "609.600000000000023"
2784198, "fid", "168"
2784198, "ID", "167"
2784198, "ELEV", "1219.200000000000045"
2811390, "fid", "169"
2811390, "ID", "168"
2811390, "ELEV", "304.800000000000011"
2812203, "fid", "170"
2812203, "ID", "169"
2812203, "ELEV", "609.600000000000023"
2813664, "fid", "171"
2813664, "ID", "170"
2813664, "ELEV", "914.400000000000091"
2817610, "fid", "172"
2817610, "ID", "171"
2817610, "ELEV", "914.400000000000091"
2817774, "fid", "173"
2817774, "ID", "172"
2817774, "ELEV", "304.800000000000011"
2819992, "fid", "174"
2819992, "ID", "173"
2819992, "ELEV", "609.600000000000023"
2820697, "fid", "175"
2820697, "ID", "174"
2820697, "ELEV", "914.400000000000091"
2822446, "fid", "176"
2822446, "ID", "175"
2822446, "ELEV", "914.400000000000091"
2864157, "fid", "177"
2864157, "ID", "176"
2864157, "ELEV", "609.600000000000023"
2865006, "fid", "178"
2865006, "ID", "177"
2865006, "ELEV", "914.400000000000091"
2865603, "fid", "179"
2865603, "ID", "178"
2865603, "ELEV", "1219.200000000000045"
2865927, "fid", "180"
2865927, "ID", "179"
2865927, "ELEV", "304.800000000000011"
2866704, "fid", "181"
2866704, "ID", "180"
2866704, "ELEV", "609.600000000000023"
2868525, "fid", "182"
2868525, "ID", "181"
2868525, "ELEV", "304.800000000000011"
2870202, "fid", "183"
2870202, "ID", "182"
2870202, "ELEV", "304.800000000000011"
2873968, "fid", "184"
2873968, "ID", "183"
2873968, "ELEV", "304.800000000000011"
2879858, "fid", "185"
2879858, "ID", "184"
2879858, "ELEV", "304.800000000000011"
2882184, "fid", "186"
2882184, "ID", "185"
2882184, "ELEV", "609.600000000000023"
2882565, "fid", "187"
2882565, "ID", "186"
2882565, "ELEV", "304.800000000000011"
2883702, "fid", "188"
2883702, "ID", "187"
2883702, "ELEV", "609.600000000000023"
2885956, "fid", "189"
2885956, "ID", "188"
2885956, "ELEV", "304.800000000000011"
2890370, "fid", "190"
2890370, "ID", "189"
2890370, "ELEV", "914.400000000000091"
2894640, "fid", "191"
2894640, "ID", "190"
2894640, "ELEV", "304.800000000000011"
2895777, "fid", "192"
2895777, "ID", "191"
2895777, "ELEV", "609.600000000000023"
2896554, "fid", "193"
2896554, "ID", "192"
2896554, "ELEV", "304.800000000000011"
2898700, "fid", "194"
2898700, "ID", "193"
2898700, "ELEV", "1219.200000000000045"
2900354, "fid", "195"
2900354, "ID", "194"
2900354, "ELEV", "304.800000000000011"
2901491, "fid", "196"
2901491, "ID", "195"
2901491, "ELEV", "304.800000000000011"
2902916, "fid", "197"
2902916, "ID", "196"
2902916, "ELEV", "609.600000000000023"
2903873, "fid", "198"
2903873, "ID", "197"
2903873, "ELEV", "914.400000000000091"
2911203, "fid", "199"
2911203, "ID", "198"
2911203, "ELEV", "304.800000000000011"
2913094, "fid", "200"
2913094, "ID", "199"
2913094, "ELEV", "609.600000000000023"
2914267, "fid", "201"
2914267, "ID", "200"
2914267, "ELEV", "304.800000000000011"
2915260, "fid", "202"
2915260, "ID", "201"
2915260, "ELEV", "609.600000000000023"
2916613, "fid", "203"
2916613, "ID", "202"
2916613, "ELEV", "914.400000000000091"
2921531, "fid", "204"
2921531, "ID", "203"
2921531, "ELEV", "914.400000000000091"
2927205, "fid", "205"
2927205, "ID", "204"
2927205, "ELEV", "914.400000000000091"
2927982, "fid", "206"
2927982, "ID", "205"
2927982, "ELEV", "304.800000000000011"
2931460, "fid", "207"
2931460, "ID", "206"
2931460, "ELEV", "609.600000000000023"
2932597, "fid", "208"
2932597, "ID", "207"
2932597, "ELEV", "914.400000000000091"
2936255, "fid", "209"
2936255, "ID", "208"
2936255, "ELEV", "304.800000000000011"
2937227, "fid", "210"
2937227, "ID", "209"
2937227, "ELEV", "304.800000000000011"
2937995, "fid", "211"
2937995, "ID", "210"
2937995, "ELEV", "304.800000000000011"
2938592, "fid", "212"
2938592, "ID", "211"
2938592, "ELEV", "609.600000000000023"
